Geography,Abbreviation,medianAge,medianIncome,percentHighSchoolOrLess,percentSufferedDepression,percentObese,percentLackingInsurance
Alabama,AL,38.6,22327,46.9,21.3,33.5,13.9
Alaska,AK,33.3,31557,35.5,15.6,29.7,15
Arizona,AZ,36.9,26070,38.2,18.7,28.9,14.4
Arkansas,AR,37.8,22179,49.6,21.5,35.9,16.3
California,CA,36,26997,38.8,13.3,24.7,14.8
Colorado,CO,36.3,30801,31.4,17,21.3,12.8
Connecticut,CT,40.5,33027,37.4,18.3,26.3,8.7
Delaware,DE,39.6,30173,42.2,18.3,30.7,8.7
District of Columbia,DC,33.8,40094,28,18.1,21.7,8.3
Florida,FL,41.6,24405,42.4,16.2,26.2,17.6
Georgia,GA,36.1,25371,42.8,18.3,30.5,20.9
Hawaii,HI,38.1,31072,36.8,10.7,22.1,8.1
Idaho,ID,35.9,23448,38.1,19.5,28.9,16.5
Illinois,IL,37.5,29006,38.5,16.7,29.3,11.9
Indiana,IN,37.4,25800,45.9,20.7,32.7,14.8
Iowa,IA,38.2,28060,39.6,18.7,30.9,7.7
Kansas,KS,36.2,27139,36.2,18.6,31.3,14.5
Kentucky,KY,38.5,22657,49.3,23.9,31.6,10
Louisiana,LA,36.1,24022,50.2,18.7,34.9,18.7
Maine,ME,44.1,25294,40.6,23.7,28.2,11
Maryland,MD,38.3,35342,36.1,15.9,29.6,9.2
Massachusetts,MA,39.4,31763,35.2,21.7,23.3,4.6
Michigan,MI,39.6,25360,39.8,20.5,30.7,10.3
Minnesota,MN,37.8,31035,33.1,18.2,27.6,7.3
Mississippi,MS,36.7,21458,47.2,19.9,35.5,18.8
Missouri,MO,38.5,25251,42.5,21.7,30.2,12.9
Montana,MT,39.6,24232,38,20.4,26.4,12.9
Nebraska,NE,36.2,27289,36.9,17.7,30.2,12.4
Nevada,NV,37.4,26900,43.1,15.6,27.7,17.1
New Hampshire,NH,42.5,31326,36.4,21,27.4,11.4
New Jersey,NJ,39.4,32683,39.1,13.4,26.9,12.5
New Mexico,NM,37.2,22588,42.2,21.1,28.4,15.4
New York,NY,38.2,29429,40.9,15.9,27,12.3
North Carolina,NC,38.3,24914,40.2,19,29.7,16.1
North Dakota,ND,35.1,30609,35.7,17.3,32.2,8.8
Ohio,OH,39.4,25936,44.5,20.9,32.6,10.2
Oklahoma,OK,36.2,25302,44.4,21.8,33,13.9
Oregon,OR,39.3,25244,34.6,24,27.9,11
Pennsylvania,PA,40.7,26954,47,19.7,30.2,10.1
Rhode Island,RI,39.8,27375,42.9,20.6,27,8
South Carolina,SC,38.8,23454,44.2,19.9,32.1,17.1
South Dakota,SD,36.6,26916,38.9,16.6,29.8,9.9
Tennessee,TN,38.6,23189,47.5,21.4,31.2,14.2
Texas,TX,34.3,26287,43,14.6,31.9,24.9
Utah,UT,30.5,25983,31.6,20.7,25.7,13.9
Vermont,VT,42.8,26799,38.7,21.8,24.8,6.7
Virginia,VA,37.7,31147,36.1,17.4,28.5,13.1
Washington,WA,37.5,30376,32.4,21.6,27.3,10.7
West Virginia,WV,41.9,22247,55.9,23.6,35.7,10.1
Wisconsin,WI,39.2,27434,40.5,17,31.2,8.5
Wyoming,WY,36.6,29681,34.8,19,29.5,15.1
